ginger	shínsher
alleged	aléshd
permission	permíshan
metropolitan	metropólatan
campaign	kampein
respondent	rispóndent
damn	dám
staff	stáf
execution	eksekiúshan
unit	iúnat
notice	noutas
leadership	lídership
share	shér
terribly	térabli
yourself	iersélf
beer	bír
composition	kompozíshan
drunk	dránk
full	fúl
integrate	íntagreit
ancestor	ánsester
mirror	mírer
carry	kári
decent	dísent
stereotype	stériataip
utilize	iútalaiz
hers	jerz
occupy	ákiapai
letter	léter
puzzle	pázel
shoulder	shoulder
thereby	dérbai
eat	ít
introduction	introdákshan
apartment	apártment
chair	chér
democracy	dimákrasi
strengthen	strénten
victim	víktam
history	jísteri
only	ounli
lip	líp
raise	reiz
tie	tai
get	gét
iron	aiern
consultant	konsáltant
arm	árm
pop	póp
desk	désk
subtle	sátel
feature	fícher
abortion	abórshan
orientation	orienteishan
loss	lós
bomb	bóm
realistic	rialístik
contribute	kantríbiut
elsewhere	élsuer
too	tú
govern	góvern
sail	seil
suite	suít
tourism	túrizam
grand	gránd
mortality	mortálati
jewelry	shúalri
powerful	pauerfal
sample	sámpel
weather	uéder
association	asousieishan
class	klás
dig	díg
firmly	fermli
icon	aikon
action	ákshan
paint	peint
managing	mánashin
brick	brík
regardless	regárdles
costly	kástli
solid	sólad
ensure	enshúr
transit	tránzit
guess	gés
Muslim	mázlam
president	prézadent
scope	skoup
whisper	uísper
automobile	ótamoubil
clothes	kloudz
discovery	diskáveri
flow	flou
importantly	impórtantli
pass	pás
math	mát
bug	bág
remaining	rimeinin
spare	spér
essay	esei
truck	trák
handle	jándel
necessity	nasésati
kit	kít
problem	próblem
seldom	séldom
withdraw	uiddró
former	fórmer
AIDS	eidz
meet	mít
buy	bai
required	rikuaierd
cure	kiúr
spite	spait
evolve	iválv
uncertainty	ansertanti
nobody	noubadi
proof	prúf
set	sét
teen	tín
written	ríten
beam	bím
comparable	kómperabel
dramatically	dramátikli
frequently	fríkuantli
insight	ínsait
pet	pét
cap	káp
retail	ríteil
starter	stárter
expand	ikspánd
helicopter	jélikopter
nut	nát
lecture	lékcher
publicity	pablísati
shelf	shélf
textbook	tékstbuk
conception	konsépshan
Dutch	dách
fur	fer
intention	inténchan
ankle	ánkel
pipe	paip
catalog	kátalog
ridge	rísh
deeply	dípli
stomach	stómak
vanish	vánish
offering	óferin
lifestyle	laifstail
quickly	kuíkli
sibling	síblin
thirty	terdi
bind	baind
consequence	kánsakuans
genre	shánre
apply	aplai
plus	plás
roof	rúf
department	dipártment
strongly	strónli
fantasy	fántasi
opportunity	apertúnati
rapidly	rápadli
sit	sít
elbow	élbou
timing	taimin
it	ít
vulnerable	válnerabel
art	árt
portrait	pórtrat
Chinese	chainíz
detective	ditéktiv
academic	akadémik
outcome	autkam
loyalty	loialti
boring	bórin
receive	rasív
convert	kónvert
slowly	slouli
emphasize	émfasaiz
humanity	jiumániti
accomplish	akómplish
over	ouver
magnetic	magnétik
bow	bau
recommendation	rekomendeishan
cooperation	kouapereishan
so	sou
encouraging	enkerishin
track	trák
gravity	grávati
mountain	mauntan
precious	préshas
supportive	sapórtiv
welcome	uélkam
attack	aták
clearly	klírli
diplomatic	diplomátik
fix	fíks
illegal	ilígal
added	áded
marble	márbel
broad	bród
rehabilitation	rijabilateishan
counter	kaunter
somewhat	sámuát
entry	éntri
traveler	tráveler
gut	gát
naked	neiked
jury	shúri
previous	prívias
seal	síl
sweater	suéter
widow	uídou
aware	auér
coat	kout
dissolve	dizálv
following	fólouin
incentive	inséntiv
African	áfrakan
path	pát
render	rénder
criteria	kraitíria
specifically	spesífikli
ethnic	étnik
turkey	terki
nerve	nerv
lab	láb
productive	pradáktiv
senior	sínier
target	tárget
word	uerd
barn	bárn
comfort	kómfert
dominate	dámaneit
foundation	faundeishan
percentage	perséntash
merchant	merchant
resign	rizain
custom	kástom
sprinkle	sprínkel
excessive	iksésiv
undertake	ánderteik
normally	nórmali
protect	protékt
sexuality	sekshuálati
tend	ténd
yesterday	iésterdei
complaint	kompleint
drink	drínk
frontier	frontír
instinct	ínstinkt
ambition	ambíshan
phrase	freiz
minimal	mínamal
career	kerír
revenue	révenu
deadly	dédli
steadily	stédali
experimental	iksperiméntal
urge	ersh
legitimate	lashítamat
shooting	shútin
theme	tím
beneath	binít
conference	kánferans
garbage	gárbish
anxiety	anzaiati
planet	plánet
celebrity	salébriti
definition	defaníshan
strain	strein
facility	fasíliti
vendor	vénder
hint	jínt
likewise	laikuaiz
racism	reisizam
significant	sagnífikant
threshold	tréshould
investor	invéster
conspiracy	kanspírasi
efficiency	ifíshansi
Arab	árab
policy	pálasi
chart	chárt
routinely	rutínli
deputy	dépiati
style	stail
hopefully	joupfeli
orbit	órbat
logic	lóshik
reach	rích
contest	kóntest
skin	skín
element	élement
together	togéder
Japanese	shapaníz
sue	sú
war	uór
ash	ásh
Christmas	krísmas
devil	déval
fifty	fífti
wave	ueiv
assess	asés
citizen	sítazen
finally	fainali
hurry	jeri
ownership	ounership
brand	bránd
reflect	reflékt
corner	kórner
trailer	treiler
grocery	grouseri
journal	shernal
premise	prémis
scene	sín
surprise	serpraiz
wheelchair	uílcher
auction	ákshan
clinical	klínakal
disappointed	disapointid
immigration	imagreishan
admire	admair
participant	partísapant
marriage	mérish
release	rilís
source	sórs
equip	ikuíp
tribe	traib
halfway	jáfuei
native	neitiv
kick	kík
priority	praiórati
secular	sékialer
sympathy	símpati
wine	uain
collapse	kaláps
disturb	disterb
foreigner	fórener
incredibly	inkrédabli
aggressive	agrésiv
mechanic	mekánik
business	bíznas
reporter	ripórter
sphere	sfír
typical	típakal
news	núz
land	lánd
progressive	pragrésiv
teammate	tímeit
worry	ueri
basketball	básketbol
committee	komíti
dough	dou
frankly	fránkli
inmate	ínmeit
allegedly	aléshadli
permit	permít
Mexican	méksakan
response	rispáns
dance	dáns
executive	igzékiativ
notion	noushan
leading	lídin
provider	provaider
shared	shérd
terrific	terífik
youth	iút
compound	kómpaund
dry	drai
fully	fúli
integrated	íntegreited
ancient	einchant
miss	mís
cart	kárt
rhythm	rídam
export	éksport
vacation	veikeishan
herself	jersélf
occur	oker
level	lével
qualify	kuálafai
shout	shaut
therefore	dérfor
bias	baias
Congress	kóngres
eating	ítin
gaze	geiz
invade	inveid
chairman	chérman
Democrat	démokrat
stress	strés
fairly	férli
victory	víkteri
hit	jít
onto	óntu
liquid	líkuad
simply	símpli
blend	blénd
ironically	airónikli
armed	ármd
chemical	kémakal
ruling	rúlin
desperate	désprit
suburb	sáberb
hostage	jástish
about	abaut
origin	órashan
lost	lóst
bombing	bómin
reality	riálati
contribution	kontrabiúshan
sleep	slíp
embarrassed	imbérast
tool	túl
government	góverment
poster	pouster
tourist	túrast
grandchild	grándchaild
mortgage	mórgash
Jewish	shúish
practical	práktakal
sanction	sánkshan
weave	uív
assume	asúm
classic	klásik
first	ferst
identical	aidéntikal
active	áktiv
painter	peinter
mandate	mándeit
bride	braid
costume	kastúm
solution	solúshan
enter	énter
transition	tranzíshan
guest	gést
must	mást
juice	shús
presidential	prezadénchal
score	skór
suspect	saspékt
white	uait
autonomy	otánami
clothing	kloudin
discrimination	diskrimaneishan
flower	flauer
impose	impouz
advertising	ádvertaizin
passage	pásash
mathematics	matemátiks
create	krieit
spark	spárk
essence	ésans
neck	nék
kitchen	kíchen
procedure	prasísher
select	selékt
withdrawal	uiddróal
band	bánd
colorful	kólerfal
doctrine	dáktran
formerly	fórmerli
aim	eim
pen	pén
meeting	mítin
buyer	baier
requirement	rikuairmant
curiosity	kiuriásati
split	splít
exact	igzákt
uncle	ánkel
nod	nód
lately	leitli
proper	próper
setting	sétin
teenage	tíneish
wrong	rón
compare	kampér
draw	dró
fresh	frésh
insist	insíst
alter	ólter
migration	maigreishan
capability	keipabílati
retailer	ríteiler
database	deitabeis
starting	stártin
expansion	ikspánshan
unprecedented	anprésidentid
nutrient	nútriant
left	léft
publicly	páblikli
shell	shél
texture	tékscher
belief	bilíf
concern	konsern
duty	dúti
furniture	fernicher
interact	interákt
pistol	pístol
model	módel
catch	kách
ridiculous	ridíkialos
deer	dír
stone	stoun
extraordinary	ekstraórdaneri
variable	vériabal
highlight	jailait
office	ófas
lifetime	laiftaim
quiet	kuaiat
sick	sík
this	dís
biography	baiágrafi
consequently	kánsakuantli
edition	edíshan
gentle	shéntel
appoint	apoint
pocket	póket
chaos	keias
room	rúm
departure	dipárcher
structural	strákcheral
far	fár
virtually	verchuali
oppose	apouz
living	lívin
rare	rér
elder	élder
tiny	taini
Italian	itálian
wage	ueish
article	ártakel
portray	portrei
sack	sák
determination	ditermaneishan
accelerate	aksélereit
outdoor	autdor
luck	lák
born	bórn
receiver	resíver
convey	konvei
empire	émpaier
accomplishment	akómplishment
overall	ouverol
magnitude	mágnatud
bowl	boul
cooperative	kouápereitiv
so-called	soukóld
end	énd
mouse	maus
precise	prisais
saving	seivin
suppose	sapouz
welfare	uélfer
attempt	atémpt
clerk	klerk
direct	derékt
fixed	fíkst
illness	ílnes
addition	adíshan
march	márch
broadcast	bródkast
reinforce	riinfórs
counterpart	kaunterpart
somewhere	sámuer
envelope	énvaloup
tray	trei
just	shást
previously	príviasli
sweep	suíp
wife	uaif
awareness	auérnas
distance	dístans
incident	ínsadent
after	áfter
patience	peishans
burden	berden
rent	rént
critic	krítik
specify	spésafai
turn	tern
nervous	nervos
label	leibel
productivity	proudaktívati
sensation	senseishan
task	tásk
work	uerk
comfortable	kómfertabel
donate	douneit
founder	faunder
infrastructure	infrastrákcher
alarm	alárm
perception	persépshan
mere	mír
resist	rizíst
customer	kástomer
spy	spai
headache	jédeik
north	nórt
law	ló
protection	protékshan
sexually	sékshuali
tendency	téndansi
yet	iét
drinking	drínkin
frown	fraun
institution	institúshan
ambitious	ambíshas
physical	fízikal
minimize	mínamaiz
careful	kérfal
reverse	rivers
deal	díl
steady	stédi
expert	ékspert
us	ás
her	jer
observer	obzerver
purchase	perchas
shop	shóp
themselves	demsélvz
benefit	bénefit
confess	konfés
earn	ern
garden	gárden
interpret	interpret
anxious	ánkshas
planner	pláner
cell	sél
risk	rísk
degree	digrí
fact	fákt
venture	véncher
hip	jíp
old	ould
limb	lím
rack	rák
significantly	signífikantli
thrive	traiv
invisible	invízabel
constant	kónstant
efficient	ifíshant
political	polítakal
row	rou
derive	deraiv
father	fáder
order	órder
logical	lóshikal
react	riákt
context	kóntekst
skip	skíp
elementary	eleméntri
toilet	toilet
goal	goul
jar	shár
suffer	sáfer
warehouse	uérjaus
Asian	eishan
chronic	krónik
devote	divout
sum	sám
way	uei
assessment	asésment
citizenship	sítizenship
die	dai
finance	fanáns
hurt	jert
oxygen	áksashan
brave	breiv
reflection	reflékshan
corporate	kórperat
soft	sóft
engineer	énshanír
gross	grous
multiple	máltapel
journalism	shernalizam
premium	prímiam
scent	sént
surprised	serpraizd
when	uén
audience	ádiens
clip	klíp
disappointment	disapointment
flexibility	fleksabílati
immune	imiún
admission	admíshan
participate	partísapeit
married	mérid
bubble	bábel
relevant	rélevant
cover	kóver
south	saut
equipment	ikuípment
trick	trík
hall	jól
kid	kíd
prison	prízon
secure	sikiúr
symptom	símptam
wing	uín
collar	kóler
disturbing	disterbin
forest	fórest
indeed	indíd
ago	agou
peaceful	písfal
mechanical	mekánikal
businessman	bíznasman
reporting	ripórtin
everybody	évribadi
typically	típikli
newspaper	núzpeiper
landing	lándin
prohibit	proujíbat
serious	sírias
tear	tér
worth	uert
bat	bát
commodity	kamádati
down	daun
fraud	fród
inner	íner
alley	áli
Persian	pershan
can	kán
responsibility	rispansabílati
dancer	dánser
stair	stér
exercise	éksersaiz
United	iunaited
leaf	líf
province	právans
shareholder	shérjoulder
territory	téritori
beg	bég
comprehensive	kamprijénsiv
duck	dák
fun	fán
integration	integreishan
and	and
pig	píg
missile	mísal
cartoon	kartún
rib	ríb
decision	disíshan
expose	ikspouz
vaccine	vaksín
hesitate	jézateit
liability	laiabíliti
quality	kuálati
shove	sháv
these	díz
Bible	baibel
congressional	kongréshanal
invasion	inveishan
apologize	apálashaiz
plea	plí
democratic	demokrátik
stretch	stréch
faith	feit
view	viú
hockey	jóki
open	oupen
list	líst
rally	ráli
simultaneously	saimalteiniasli
bless	blés
irony	airani
army	ármi
chemistry	kémastri
desperately	désperatli
suburban	saberban
fee	fí
hostile	jástal
above	abáv
originally	eríshanali
lot	lót
bond	bónd
realize	ríalaiz
contributor	kontríbiater
sleeve	slív
embrace	embreis
tooth	tút
governor	góverner
pot	pót
employ	emploi
tournament	túrnament
grandfather	grándfader
most	moust
practically	práktakli
sand	sánd
web	uéb
assumption	asámpshan
classical	klásikal
dignity	dígnati
identification	aidentafakeishan
actively	áktivli
painting	peintin
bridge	brísh
regime	rashím
cottage	kátash
solve	sálv
translate	tranzleit
mutter	máter
scramble	skrámbel
suspend	saspénd
who	jú
availability	aveilabílati
cloud	klaud
discuss	diskás
fluid	flúad
impossible	impósabel
advice	advais
passenger	pásensher
matter	máter
build	bíld
remark	rimárk
creation	krieishan
speak	spík
essential	isénshal
truly	trúli
handsome	jánsam
need	níd
knee	ní
proceed	prosíd
selected	selékted
tale	teil
within	uidín
column	kólam
document	dókiament
formula	fórmiala
industry	índastri
penalty	pénalti
melt	mélt
rescue	réskiu
curious	kiúrias
spokesman	spouksman
exactly	igzáktli
uncomfortable	ankómfertabel
haul	jól
properly	práperli
settle	sétel
teenager	tíneisher
bear	bér
comparison	kompérason
drawer	drór
freshman	fréshman
inspection	inspékshan
phase	feiz
mild	maild
capable	keipabel
retain	ritein
date	deit
state	steit
expect	ikspékt
until	antíl
o'clock	oklók
leg	lég
publish	páblish
shelter	shélter
than	dán
concerned	kansernd
dying	daiin
furthermore	ferdermor
interaction	interákshan
anniversary	anaverseri
pit	pít
moderate	máderat
category	kátagori
rifle	raifel
defeat	difít
stop	stóp
variation	verieishan
highly	jaili
officer	ófaser
lift	líft
quietly	kuaiatli
side	said
thoroughly	terouli
biological	baialáshikal
conservation	konserveishan
gentleman	shéntelman
appointment	apointment
chapter	chápter
root	rút
depend	dipénd
structure	strákcher
fare	fér
virtue	verchu
homeland	joumland
opposed	apouzd
rarely	rérli
consumer	konsúmer
situation	sichueishan
elderly	élderli
tip	típ
given	gíven
wagon	uágon
articulate	artíkialeit
pose	pouz
sacred	seikred
determine	daterman
few	fiú
accent	aksént
outer	auter
lucky	láki
borrow	bórou
recent	rísent
convict	kónvikt
fighter	faiter
hundred	jándred
according	akórdin
overcome	ouverkam
recording	rekórdin
coordinate	kouórdanet
soak	souk
endless	éndles
mouth	maut
precisely	prisaisli
supposed	sapouzd
well	uél
attend	aténd
direction	derékshan
flag	flág
illusion	ilúshan
additional	adíshanal
country	kántri
environment	invaironment
treasure	trésher
gym	shím
narrative	nárativ
price	prais
season	sízon
sweet	suít
wild	uaild
away	auei
cocaine	koukein
distant	dístant
food	fúd
include	inklúd
afternoon	afternún
patient	peishant
meal	míl
rental	réntal
critical	krítikal
spectacular	spektákialer
harassment	jerásment
nest	nést
laboratory	lábrotori
profession	proféshan
sense	séns
taste	teist
worker	uerker
barrel	bárel
donation	douneishan
four	fór
ingredient	ingrídiant
album	álbam
perfect	perfékt
merely	mírli
cake	keik
resistance	rizístans
squad	skuád
excited	iksaited
unemployment	animploiment
headline	jédlain
northeast	nortíst
lawmaker	lómeiker
protective	pratéktiv
sexy	séksi
tender	ténder
yield	iíld
completely	komplítli
drive	draiv
frozen	frouzen
institutional	institúshanal
amendment	améndment
physically	fízikali
minimum	mínamam
carefully	kérfeli
review	riviú
dealer	díler
steak	steik
expertise	ekspertíz
obstacle	óbstakel
lemon	lémon
pure	piúr
shopping	shópin
then	dén
confession	konféshan
earnings	erninz
interpretation	interpriteishan
any	éni
planning	plánin
monster	mónster
cemetery	sémateri
risky	ríski
delay	dilei
stranger	streinsher
verdict	verdikt
Olympic	oulímpik
limit	límat
radiation	reidieishan
throat	trout
black	blák
invitation	inviteishan
constantly	kánstantli
effort	éfert
politically	palítikali
descend	disénd
fatigue	fatíg
horizon	jeraizon
ordinary	órdaneri
reaction	riákshan
continent	kóntanent
skirt	skert
elephant	élefant
tolerance	tálerans
goat	gout
suffering	sáferin
warm	uórm
aside	asaid
diabetes	daiabítiz
summary	sámeri
we	uí
asset	áset
city	síti
financial	fanánshal
husband	jázband
achieve	achív
pace	peis
makeup	meikep
bread	bréd
reform	refórm
corporation	korpereishan
soften	sófen
engineering	énshanírin
trainer	treiner
ground	graund
journalist	shernalast
preparation	prepereishan
schedule	skéshul
surprising	serpraizin
whenever	uenéver
clock	klók
disaster	dizáster
flexible	fléksabel
impact	impákt
admit	admít
participation	partisapeishan
marry	méri
reliability	rilaiabílati
coverage	káverash
southeast	sautíst
equity	ékuati
trigger	tríger
naturally	nácherali
kill	kíl
prisoner	prízoner
syndrome	síndroum
winner	uíner
bake	beik
colleague	kálig
diverse	daivers
forever	feréver
agree	agrí
mechanism	mékanizam
represent	reprezént
crush	krásh
everyday	évridei
next	nékst
landmark	lándmark
seriously	síriasli
would	uúd
bath	bát
downtown	dauntaun
innocent	ínosent
persist	persíst
Canadian	kaneidian
responsible	rispónsabel
dancing	dánsin
stake	steik
exhaust	igzóst
unity	iúnati
novel	nóvel
provision	províshan
shark	shárk
begin	bigín
comprise	kampraiz
due	dú
function	fánkshan
integrity	intégrati
pile	pail
missing	mísin
carve	kárv
ribbon	ríbon
deck	dék
exposure	ikspousher
vacuum	vákium
odd	ód
quantity	kuántati
show	shou
they	dei
bicycle	baisikal
connect	konékt
ecological	ikolóshikal
gender	shénder
invent	invént
apology	apálashi
plead	plíd
demographic	demográfik
strict	stríkt
fall	fól
viewer	viúer
opening	oupenin
listen	lísen
ranch	ránch
since	síns
tight	tait
blessing	blésin
Islam	islám
around	eraund
popularity	papialérati
chest	chést
despite	dispait
succeed	saksíd
feed	fíd
abroad	abród
other	óder
lots	lóts
really	ríli
slice	slais
top	tóp
grab	gráb
potato	poteitou
sake	seik
smell	smél
employee	emploii
toward	touórd
grandmother	grándmoder
mostly	moustli
practice	práktas
sandwich	sánduich
wedding	uédin
assure	ashúr
classify	klásafai
fish	físh
identify	aidéntafai
activist	áktavast
pair	pér
manipulate	manípialeit
cotton	kóton
entertainment	enterteinment
translation	tranzleishan
guidance	gaidans
press	prés
scratch	skrách
whoever	juéver
available	aveilabel
discussion	diskáshan
impress	imprés
advise	advaiz
passing	pásin
maximum	máksamam
builder	bílder
remarkable	rimárkabel
speaker	spíker
essentially	isénshali
trunk	tránk
hang	ján
needle	nídel
kneel	níl
process	próses
selection	selékshan
talent	tálent
without	uitaut
bank	bánk
columnist	kólamnast
documentary	dakiaménteri
forth	fórt
inevitably	inévatabli
air	ér
pencil	pénsal
currency	keransi
sponsor	spónser
exam	igzám
uncover	ankóver
have	jáv
nomination	nomaneishan
property	práperti
settlement	sételment
telephone	télafoun
beard	bírd
compel	kompél
drawing	dróin
inspiration	inspereishan
although	oldou
phenomenon	fenómenon
capacity	kapásati
retire	ritair
daughter	dóter
statement	steitmant
expectation	ekspekteishan
unusual	aniúshual
helmet	jélmet
legacy	légasi
publisher	páblisher
shift	shíft
thank	tánk
bell	bél
concerning	konsernin
dynamic	dainámik
announce	anauns
pitch	pích
modern	módern
Catholic	kátlik
right	rait
defend	difénd
storage	stórash
extremely	ekstrímli
variety	veraiati
highway	jaiuei
official	ofíshal
light	lait
sidewalk	saiduok
those	douz
biology	baiálashi
conservative	kanservativ
educate	éshakeit
gently	shéntli
appreciate	apríshieit
poem	pouam
character	kérikter
rope	roup
dependent	dipéndent
struggle	strágel
homeless	joumlas
opposite	ápazat
load	loud
rat	rát
consumption	konsámpshan
six	síks
elect	ilékt
glad	glád
its	íts
waist	ueist
position	pozíshan
fewer	fiúer
hug	jág
accept	aksépt
outfit	autfit
lunch	lánch
recently	rísantli
conviction	konvíkshan
hunger	jánger
account	akaunt
overlook	ouverluk
mail	meil
boy	boi
recover	rikóver
coordinator	kouórdaneiter
soap	soup
endorse	endórs
trading	treidin
greatest	greitest
predator	prédater
scale	skeil
supposedly	sapouzadli
west	uést
attendance	aténdans
directly	deréktli
illustrate	ílastreit
address	ádres
parent	pérent
margin	márshan
reject	rishékt
county	kaunti
song	són
environmental	invaironméntal
treat	trít
habit	jábat
narrow	nérou
justify	shástafai
swell	suél
wilderness	uíldernes
awful	áfal
distinct	distínkt
fool	fúl
including	inklúdin
afterward	áfteruerd
patrol	patroul
mean	mín
repair	ripér
criticism	krítisizam
twelve	tuélv
net	nét
lack	lák
professional	proféshanal
sensitive	sénsativ
tax	táks
working	uerkin
barrier	bárier
command	kománd
fourth	fórt
inherent	injírent
perfectly	perfaktli
merit	mérat
calculate	kálkialeit
resolution	rezolúshan
cute	kiút
excitement	iksaitmant
unexpected	anikspéktid
headquarters	jédkuorterz
northern	nórdern
lawn	lón
protein	proutin
shade	sheid
complex	kómpleks
fruit	frút
instruct	instrákt
physician	fazíshan
minister	mínaster
steal	stíl
explain	iksplein
obtain	obtein
lend	lénd
shore	shór
theological	tialáshikal
confidence	kánfadans
earth	ert
garlic	gárlik
interrupt	interápt
anybody	énibadi
plant	plánt
month	mónt
center	sénter
ritual	ríchual
deliberately	dilíberatli
strategic	stratíshik
factory	fákteri
hire	jaier
limitation	limiteishan
silent	sailent
through	trú
blade	bleid
constitute	kánstatut
architect	árkatekt
politician	polatíshan
cheap	chíp
subject	sabshékt
fault	fólt
hormone	jórmoun
organ	órgan
long	lón
continue	kontíniu
skull	skál
elevator	éleveiter
tolerate	tálereit
God	gód
jaw	shó
sacrifice	sákrafais
sufficient	safíshant
warmth	uórmt
ask	ásk
diagnose	daiognous
salad	sálad
weak	uík
assign	asain
civic	sívik
diet	daiat
find	faind
achievement	achívmant
break	breik
refrigerator	refríshereiter
correct	kerékt
softly	sóftli
training	treinin
group	grúp
journey	sherni
scheme	skím
surprisingly	serpraizinli
where	uér
aunt	ánt
close	klous
disc	dísk
implement	ímplement
adolescent	adolésent
particle	pártakel
buck	bák
reliable	rilaiabal
cow	kau
southern	sódern
equivalent	ikuívalent
trim	trím
hallway	jóluei
privacy	praivasi
see	sí
system	sístam
winter	uínter
collect	kolékt
diversity	diversati
forget	fergét
independent	indipéndent
agreement	agríment
medal	médal
busy	bízi
representation	reprezenteishan
everyone	évriuan
harsh	jársh
landscape	lándskeip
projection	proshékshan
servant	servant
teaspoon	tíspun
wound	uaund
bathroom	bátrum
common	kómon
dozen	dózen
free	frí
innovation	inoveishan
allow	alau
person	person
cancel	kánsel
rest	rést
danger	deinsher
stance	stáns
exhibit	igzíbit
heavily	jévali
now	nau
lean	lín
provoke	pravouk
sharp	shárp
terrorism	térerizam
beginning	bigínin
compromise	kámpramaiz
functional	fánkshanal
intellectual	intalékchual
angel	einshel
pill	píl
mission	míshan
stick	stík
express	iksprés
valid	válad
hey	jei
odds	ódz
liberty	líberti
quarter	kuórter
shower	shauer
thick	tí
bid	bíd
connection	konékshan
economic	ekonómik
passion	páshan
invention	invénshan
apparent	apérent
chamber	cheimber
role	roul
demonstrate	démanstreit
strictly	stríktli
village	vílash
openly	oupanli
listener	lísener
egg	ég
tighten	taiten
gift	gíft
Islamic	izlámik
arrange	ereinsh
population	popialeishan
chew	chú
runner	ráner
dessert	dizert
success	saksés
feedback	fídbak
absence	ábsans
others	óderz
loud	laud
realm	rélm
controversial	kontrovershal
slide	slaid
emergency	imershansi
topic	tópik
potential	poténshal
employer	emploier
towards	touórdz
grandparent	grándperent
mother	móder
practitioner	praktíshaner
weed	uíd
astronomer	astrónomer
classroom	klásrum
dilemma	diléma
fisherman	físherman
identity	aidéntati
activity	aktívati
manner	máner
brief	bríf
register	réshister
couch	kauch
somebody	sómbadi
enthusiasm	intúziazam
transmission	transmíshan
my	mai
pressure	présher
scream	skrím
suspicion	saspíshan
whole	joul
clue	klú
disease	dizíz
impression	impréshan
adviser	advaizer
creativity	krieitívati
establish	istáblish
trust	trást
negative	négativ
knife	naif
processing	prósesin
self	sélf
talented	tálented
witness	uítnes
banker	bánker
combat	kómbat
fortunately	fórchanatli
infant	ínfant
pension	pénshan
member	mémber
researcher	rísercher
current	kerent
spoon	spún
examination	igzamaneishan
under	ánder
nominee	nomaní
latter	láter
proportion	propórshan
seven	séven
telescope	télaskoup
compelling	kompélin
inspire	inspair
altogether	oltogéder
philosophical	filosófikal
military	mílateri
retired	ritaird
station	steishan
expected	ikspékted
shine	shain
thanks	tánks
concert	kónsert
dynamics	dainámiks
gain	gein
interest	íntrast
announcement	anaunsmant
pitcher	pícher
modest	módest
cattle	kátel
defendant	diféndant
various	vérias
hike	jaik
officially	afíshali
lighting	laitin
quit	kuít
though	dou
consider	konsíder
education	eshakeishan
genuine	shéniauen
appreciation	aprishieishan
poet	pouat
characteristic	kerakterístik
depending	dipéndin
student	stúdent
farmer	fármer
homework	joumuerk
opposition	opozíshan
loan	loun
rate	reit
contact	kóntakt
sixth	síkst
election	ilékshan
tired	taierd
glance	gláns
itself	itsélf
wait	ueit
artifact	ártafakt
positive	pázativ
cholesterol	kolésterol
devastating	dévasteitin
fiber	faiber
huge	jiúsh
acceptable	akséptabel
boss	bós
reception	risépshan
convince	kanvíns
diagnosis	daiagnousas
hungry	jángri
accountability	akauntabiliti
overnight	ouvernait
boyfriend	boifrend
recovery	rikóvri
cop	kóp
soar	sór
endure	endiúr
tradition	tradíshan
greatly	greitli
movement	múvmant
predict	pridíkt
scan	skán
Supreme	saprím
western	uéstern
attention	aténshan
click	klík
flame	fleim
adequate	ádakuat
parental	peréntal
broker	brouker
coup	kú
soon	sún
envision	envíshan
treatment	trítment
habitat	jábatat
swim	suím
wildlife	uaildlaif
distinction	distínkshan
foot	fút
income	ínkam
again	agén
pattern	pátern
meaning	mínin
repeat	ripít
criticize	krítisaiz
speculate	spékialeit
evaluate	iváliueit
twentieth	tuéntiat
ladder	láder
professor	proféser
sensitivity	sensitíviti
taxpayer	tákspeier
workout	uerkaut
commander	kománder
donor	douner
fraction	frákshan
inherit	injérat
perform	perfórm
mess	més
calculation	kalkialeishan
resolve	rizálv
cycle	saikal
squeeze	skuíz
exciting	iksaitin
unfair	anfér
heal	jíl
northwest	nortuést
lawsuit	lósut
protest	proutest
shadow	shádou
because	bikóz
complexity	kampléksati
driveway	draivuei
frustrate	frástreit
instruction	instrákshan
amid	amíd
physics	fíziks
ministry	mínastri
dear	dír
steam	stím
explanation	eksplaneishan
useful	iúsfal
obvious	ábvias
length	lénkt
purpose	perpas
short	shórt
theology	tiálashi
beside	bisaid
confident	kónfadent
earthquake	ertkueik
gasoline	gásalin
interval	ínterval
anymore	enimór
plastic	plástik
monthly	mántli
river	ríver
delicate	délakat
strategy	strátashi
faculty	fákalti
his	jíz
on	ón
limited	límated
silk	sílk
throughout	truaut
involve	inválv
constitution	konstatúshan
architecture	árkatekcher
politics	pólatiks
cheat	chít
rub	ráb
description	diskrípshan
submit	sabmít
voluntary	válanteri
horn	jórn
organic	orgánik
long-term	lónterm
boast	boust
reader	ríder
continued	kontíniud
eleven	iléven
toll	toul
sad	sád
warn	uórn
asleep	aslíp
chunk	chánk
salary	sáleri
summit	sámat
weaken	uíken
assignment	asainment
civilian	savílian
differ	dífer
finding	faindin
hypothesis	jaipátasas
acid	ásad
pack	pák
male	meil
breakfast	brékfast
refuge	réfiush
correctly	keréktli
software	sóftuer
English	ínglish
trait	treit
muscle	másel
prescription	preskrípshan
scholar	skóler
surround	seraund
whereas	ueráz
closed	klouzd
discipline	dísaplan
flip	flíp
implementation	implementeishan
adopt	adópt
mask	másk
bucket	báket
relief	rilíf
crack	krák
southwest	sautuést
trip	tríp
near	nír
killing	kílin
seed	síd
table	teibel
wipe	uaip
balance	bálans
collection	kolékshan
forgive	fergív
agricultural	agrakálcheral
peanut	pínat
